id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
310	what was going on in the world in 1900	U.S. population exceeds 75 million | Galveston hurricane | Boxer Rebellion	The 1900s	No	"[[0.8619556427001953, 0.13804438710212708], [0.8408143520355225, 0.15918560326099396], [0.8821170330047607, 0.11788304895162582]]"
311	what was going on in the world in 1900	U.S. population exceeds 75 million | Galveston hurricane | Boxer Rebellion	universal exposition	No	"[[0.9061799049377441, 0.09382008016109467], [0.9657033681869507, 0.034296583384275436], [0.9675104022026062, 0.032489530742168427]]"
312	what was going on in the world in 1900	U.S. population exceeds 75 million | Galveston hurricane | Boxer Rebellion	The 1900 Summer Olympics	No	"[[0.607223391532898, 0.39277657866477966], [0.9025704860687256, 0.09742950648069382], [0.9048482775688171, 0.09515170007944107]]"
313	what was going on in the world in 1900	U.S. population exceeds 75 million | Galveston hurricane | Boxer Rebellion	World's Fair	No	"[[0.8915268778800964, 0.10847300291061401], [0.9641239047050476, 0.03587614372372627], [0.9651694893836975, 0.034830424934625626]]"
314	what was going on in the world in 1900	U.S. population exceeds 75 million | Galveston hurricane | Boxer Rebellion	The Boxer Rebellion in China	Yes	"[[0.9164865016937256, 0.08351341634988785], [0.9675021767616272, 0.03249772638082504], [0.010559516958892345, 0.9894404411315918]]"
315	what do mobile numbers start with in the uk	0	1	No	"[[0.9272699356079102, 0.0727301836013794]]"
316	what do mobile numbers start with in the uk	0	Mobile numbers in the UK typically start with 07.	No	"[[0.8066532015800476, 0.19334691762924194]]"
317	what do mobile numbers start with in the uk	0	77	No	"[[0.945153534412384, 0.05484652891755104]]"
318	what do mobile numbers start with in the uk	0	076xx	No	"[[0.935880720615387, 0.06411924213171005]]"
319	what do mobile numbers start with in the uk	0	7	No	"[[0.9459917545318604, 0.05400826036930084]]"
320	what do mobile numbers start with in the uk	0	07xxx xxxxxx	No	"[[0.9292160272598267, 0.07078386098146439]]"
321	who has the most rushing yards in a super bowl	Timmy Smith	Emmitt Smith	No	"[[0.73353511095047, 0.26646482944488525]]"
322	who has the most rushing yards in a super bowl	Timmy Smith	Demaryius Thomas	No	"[[0.9584401249885559, 0.04155987501144409]]"
323	who has the most rushing yards in a super bowl	Timmy Smith	"The record for most rushing yards in a Super Bowl is held by San Francisco 49ers running back Raheem Mostert, who had 220 yards in Super Bowl LIV."	No	"[[0.7585793733596802, 0.2414206862449646]]"
324	who has the most rushing yards in a super bowl	Timmy Smith	Terrell Davis	No	"[[0.9606277346611023, 0.03937223181128502]]"
325	who has the most rushing yards in a super bowl	Timmy Smith	marcus allen	No	"[[0.9593381285667419, 0.04066190868616104]]"
326	who has the most rushing yards in a super bowl	Timmy Smith	Randall Cunningham	No	"[[0.9564352035522461, 0.04356466606259346]]"
327	who has the most rushing yards in a super bowl	Timmy Smith	Timmy Smith (Washington Redskins) - 204 yards in Super Bowl XXII	Yes	"[[0.009540182538330555, 0.9904597401618958]]"
328	who has the most rushing yards in a super bowl	Timmy Smith	James White	No	"[[0.9602339267730713, 0.03976612165570259]]"
329	who sings the original windmills of your mind	Noel Harrison	noel harrison	Yes	"[[0.010531386360526085, 0.9894685745239258]]"
330	who sings the original windmills of your mind	Noel Harrison	José Feliciano	No	"[[0.9568447470664978, 0.04315522685647011]]"
331	who sings the original windmills of your mind	Noel Harrison	Dusty Springfield.	No	"[[0.939079999923706, 0.060919903218746185]]"
332	when was the canadian pacific railway started and finished	between 1881 and 1885	Started in 1881 and finished in 1885.	Yes	"[[0.01982242614030838, 0.980177640914917]]"
333	when was the canadian pacific railway started and finished	between 1881 and 1885	between 1968 and 1996	No	"[[0.923296332359314, 0.07670368254184723]]"
334	when was the canadian pacific railway started and finished	between 1881 and 1885	between 1881 and 1885	Yes	"[[0.010609917342662811, 0.9893901348114014]]"
335	when was the canadian pacific railway started and finished	between 1881 and 1885	1881 and 1885	Yes	"[[0.013668736442923546, 0.9863312244415283]]"
336	when was the canadian pacific railway started and finished	between 1881 and 1885	The Canadian Pacific Railway was started in 1881 and completed in 1885.	Yes	"[[0.013031752780079842, 0.9869682192802429]]"
337	when did the dallas cowboys win their last playoff game	2014 | 2016	"The Dallas Cowboys last won a playoff game on January 15, 2017."	No	"[[0.7814674973487854, 0.2185324728488922], [0.6588194370269775, 0.3411805331707001]]"
338	when did the dallas cowboys win their last playoff game	2014 | 2016	"January 4, 2015"	No	"[[0.9550745487213135, 0.04492541775107384], [0.9374508261680603, 0.06254927814006805]]"
339	when did the dallas cowboys win their last playoff game	2014 | 2016	1995	No	"[[0.94487464427948, 0.055125292390584946], [0.9373533725738525, 0.06264656037092209]]"
340	when did the dallas cowboys win their last playoff game	2014 | 2016	"January 15 , 2017"	No	"[[0.9531430006027222, 0.04685698822140694], [0.9470601081848145, 0.05293986201286316]]"
341	when did the dallas cowboys win their last playoff game	2014 | 2016	"January 16, 1972"	No	"[[0.9546667337417603, 0.045333366841077805], [0.949722945690155, 0.0502769835293293]]"
342	when did the dallas cowboys win their last playoff game	2014 | 2016	2014	Yes	"[[0.01002996601164341, 0.9899700284004211], [0.9065288305282593, 0.09347130358219147]]"
343	who starred in the film walk the line	Joaquin Phoenix | Ginnifer Goodwin | Dallas Roberts | Reese Witherspoon | Robert Patrick	Joaquin Phoenix	Yes	"[[0.010219925083220005, 0.9897801280021667], [0.9605209231376648, 0.03947904333472252], [0.9629018306732178, 0.037098225206136703], [0.9625160098075867, 0.03748397156596184], [0.955788254737854, 0.044211748987436295]]"
344	who starred in the film walk the line	Joaquin Phoenix | Ginnifer Goodwin | Dallas Roberts | Reese Witherspoon | Robert Patrick	Reese Witherspoon	Yes	"[[0.9642840623855591, 0.035715874284505844], [0.9625332355499268, 0.03746682405471802], [0.9620431661605835, 0.03795672208070755], [0.018647294491529465, 0.981352686882019], [0.9538828134536743, 0.04611711576581001]]"
345	who starred in the film walk the line	Joaquin Phoenix | Ginnifer Goodwin | Dallas Roberts | Reese Witherspoon | Robert Patrick	Joaquin Phoenix and Reese Witherspoon.	Yes	"[[0.02355957217514515, 0.9764404296875], [0.9564884305000305, 0.043511632829904556], [0.9569976925849915, 0.043002184480428696], [0.019282342866063118, 0.9807175993919373], [0.9533665776252747, 0.046633511781692505]]"
346	who starred in the film walk the line	Joaquin Phoenix | Ginnifer Goodwin | Dallas Roberts | Reese Witherspoon | Robert Patrick	Robert Patrick	Yes	"[[0.9629812836647034, 0.037018805742263794], [0.9550735950469971, 0.04492643475532532], [0.9588050842285156, 0.04119502380490303], [0.961349606513977, 0.03865041956305504], [0.02027815766632557, 0.9797218441963196]]"
347	form from material that has accumulated on the earths surface	Sedimentary rock	Sedimentary rocks	Yes	"[[0.010898971930146217, 0.989100992679596]]"
348	form from material that has accumulated on the earths surface	Sedimentary rock	sedimentary rock	Yes	"[[0.009855399839580059, 0.9901446104049683]]"
349	form from material that has accumulated on the earths surface	Sedimentary rock	Soil	No	"[[0.9336894154548645, 0.06631065905094147]]"
350	form from material that has accumulated on the earths surface	Sedimentary rock	lava	No	"[[0.9352618455886841, 0.0647382140159607]]"
351	form from material that has accumulated on the earths surface	Sedimentary rock	Soil.	No	"[[0.9231653809547424, 0.07683464884757996]]"
352	how many countries in the world have scouts	216 countries and territories | 169 | 216	29	No	"[[0.9610198736190796, 0.03898007422685623], [0.9515870213508606, 0.048413075506687164], [0.9506651163101196, 0.04933488368988037]]"
353	how many countries in the world have scouts	216 countries and territories | 169 | 216	216	Yes	"[[0.03657422214746475, 0.9634258151054382], [0.9428743720054626, 0.05712556466460228], [0.010995615273714066, 0.9890044331550598]]"
354	how many countries in the world have scouts	216 countries and territories | 169 | 216	Unknown.	No	"[[0.9588748216629028, 0.041125159710645676], [0.9459924697875977, 0.05400751903653145], [0.9476795196533203, 0.05232047662138939]]"
355	who was the girl in the video brenda got a baby	"Ethel ""Edy"" Proctor"	Unknown.	No	"[[0.9461690783500671, 0.053830914199352264]]"
356	who was the girl in the video brenda got a baby	"Ethel ""Edy"" Proctor"	"Ethel ""Edy"" Proctor"	Yes	"[[0.012581061571836472, 0.9874189496040344]]"
357	who was the girl in the video brenda got a baby	"Ethel ""Edy"" Proctor"	ethel ` ` edy'' proctor	Yes	"[[0.016422348096966743, 0.9835776090621948]]"
358	who was the girl in the video brenda got a baby	"Ethel ""Edy"" Proctor"	ethel edy proctor	Yes	"[[0.011253176257014275, 0.9887467622756958]]"
359	who was the girl in the video brenda got a baby	"Ethel ""Edy"" Proctor"	Tatyana Ali	No	"[[0.9589661359786987, 0.04103390872478485]]"
360	who was the girl in the video brenda got a baby	"Ethel ""Edy"" Proctor"	Brenda	No	"[[0.7124065160751343, 0.2875935137271881]]"
361	who sang smoke gets in your eyes first	Tamara Drasin | Gertrude Niesen	"The first recording of ""Smoke Gets in Your Eyes"" was by the American vocal group The Platters in 1958."	No	"[[0.8515550494194031, 0.14844489097595215], [0.808350145816803, 0.191649928689003]]"
362	who sang smoke gets in your eyes first	Tamara Drasin | Gertrude Niesen	Gertrude Niesen	Yes	"[[0.9578371644020081, 0.04216286540031433], [0.01173409353941679, 0.9882660508155823]]"
363	who sang smoke gets in your eyes first	Tamara Drasin | Gertrude Niesen	Paul Whiteman and His Orchestra	No	"[[0.9584729075431824, 0.04152710735797882], [0.9636757969856262, 0.036324258893728256]]"
364	where is the nfl game in london played	Twickenham Stadium | Wembley Stadium	twickenham stadium	Yes	"[[0.009673862718045712, 0.9903260469436646], [0.7639636993408203, 0.23603618144989014]]"
365	where is the nfl game in london played	Twickenham Stadium | Wembley Stadium	Wembley Stadium	Yes	"[[0.8409053683280945, 0.1590946614742279], [0.009028429165482521, 0.9909715056419373]]"
366	where is the nfl game in london played	Twickenham Stadium | Wembley Stadium	The NFL game in London is usually played at Wembley Stadium.	Yes	"[[0.6966103315353394, 0.3033897280693054], [0.010049287229776382, 0.9899507164955139]]"
367	where can i get a state issued id	DMV | each state's DMV	You can get a state-issued ID from your local Department of Motor Vehicles.	No	"[[0.7589351534843445, 0.24106480181217194], [0.6960880160331726, 0.3039119839668274]]"
368	where can i get a state issued id	DMV | each state's DMV	each state's DMV	Yes	"[[0.010932669043540955, 0.9890673160552979], [0.00980851799249649, 0.9901913404464722]]"
369	where can i get a state issued id	DMV | each state's DMV	Department of Motor Vehicles (DMV)	Yes	"[[0.00938253104686737, 0.9906173348426819], [0.5157613754272461, 0.48423856496810913]]"
370	where can i get a state issued id	DMV | each state's DMV	passport cards	No	"[[0.9575726985931396, 0.04242740571498871], [0.937302827835083, 0.0626971423625946]]"
371	where can i get a state issued id	DMV | each state's DMV	DMV	Yes	"[[0.009365353733301163, 0.9906346797943115], [0.3329358994960785, 0.6670640707015991]]"
372	where can i get a state issued id	DMV | each state's DMV	California	No	"[[0.9577465653419495, 0.04225345328450203], [0.9416236281394958, 0.05837646871805191]]"
373	what is the 3rd largest state in usa	California | Alaska	New York	No	"[[0.94610196352005, 0.053897906094789505], [0.9564321637153625, 0.04356783628463745]]"
374	what is the 3rd largest state in usa	California | Alaska	"The third largest state in the United States is Florida, with an area of 170,312 square miles."	No	"[[0.8883857727050781, 0.11161414533853531], [0.9281346797943115, 0.0718652680516243]]"
375	what is the 3rd largest state in usa	California | Alaska	texas	No	"[[0.9435787796974182, 0.056421224027872086], [0.9552489519119263, 0.044750940054655075]]"
376	what is the 3rd largest state in usa	California | Alaska	California	Yes	"[[0.011563614942133427, 0.9884364008903503], [0.9515663385391235, 0.048433568328619]]"
377	how do you spell padawan from star wars	Padawan	Padawan	Yes	"[[0.009241046383976936, 0.9907589554786682]]"
378	how do you spell padawan from star wars	Padawan	sampa	No	"[[0.7363330721855164, 0.26366692781448364]]"
379	how do you spell padawan from star wars	Padawan	learner	No	"[[0.6973008513450623, 0.3026992380619049]]"
380	how do you spell padawan from star wars	Padawan	jedi	No	"[[0.6322512626647949, 0.3677487075328827]]"
381	how do you spell padawan from star wars	Padawan	P-A-D-A-W-A-N.	No	"[[0.7824294567108154, 0.21757057309150696]]"
382	who won last year's grand national 2017	One For Arthur	one for arthur	Yes	"[[0.013763079419732094, 0.9862369298934937]]"
383	who won last year's grand national 2017	One For Arthur	"One For Arthur, ridden by Derek Fox."	Yes	"[[0.06873086094856262, 0.9312691688537598]]"
384	what is the corporate tax rate in great britain	20%	The corporate tax rate in Great Britain is 19%.	Yes	"[[0.010089566931128502, 0.9899104237556458]]"
385	what is the corporate tax rate in great britain	20%	20	Yes	"[[0.008182164281606674, 0.9918177723884583]]"
386	what is the corporate tax rate in great britain	20%	20%	Yes	"[[0.009555033408105373, 0.9904448390007019]]"
387	what is the corporate tax rate in great britain	20%	19%	No	"[[0.7898213267326355, 0.2101786732673645]]"
388	what is the corporate tax rate in great britain	20%	20%	Yes	"[[0.009555033408105373, 0.9904448390007019]]"
389	how many plane surfaces does a cylinder have	two | two parallel planes	Two.	Yes	"[[0.012935384176671505, 0.9870645999908447], [0.4131867587566376, 0.5868132710456848]]"
390	how many plane surfaces does a cylinder have	two | two parallel planes	two	Yes	"[[0.01138661801815033, 0.9886133670806885], [0.4037524461746216, 0.5962474942207336]]"
391	how many plane surfaces does a cylinder have	two | two parallel planes	infinite curvilinear surface	No	"[[0.9228459000587463, 0.0771540179848671], [0.9526249170303345, 0.04737513139843941]]"
392	how many plane surfaces does a cylinder have	two | two parallel planes	six	No	"[[0.891128659248352, 0.10887128859758377], [0.9414663314819336, 0.05853363126516342]]"
393	how many plane surfaces does a cylinder have	two | two parallel planes	infinite	No	"[[0.9255259037017822, 0.0744740292429924], [0.9457194805145264, 0.05428040772676468]]"
394	list the seven gifts of the holy spirit	piety | knowledge | wisdom | fear | fortitude | fear of the Lord | understanding | counsel	knowledge	Yes	"[[0.9340352416038513, 0.06596479564905167], [0.012144526466727257, 0.9878554344177246], [0.9365561604499817, 0.06344389915466309], [0.9416487812995911, 0.058351144194602966], [0.9556987285614014, 0.044301215559244156], [0.9513129591941833, 0.04868708550930023], [0.7684980630874634, 0.23150195181369781], [0.9374904036521912, 0.06250963360071182]]"
395	list the seven gifts of the holy spirit	piety | knowledge | wisdom | fear | fortitude | fear of the Lord | understanding | counsel	wisdom	Yes	"[[0.9368495941162109, 0.0631503239274025], [0.9448199272155762, 0.055180151015520096], [0.012613852508366108, 0.987386167049408], [0.9487521052360535, 0.051247842609882355], [0.9552429914474487, 0.04475696012377739], [0.9498916864395142, 0.05010835453867912], [0.9356074929237366, 0.06439242511987686], [0.9352580904960632, 0.06474197655916214]]"
396	list the seven gifts of the holy spirit	piety | knowledge | wisdom | fear | fortitude | fear of the Lord | understanding | counsel	"The seven gifts of the Holy Spirit are wisdom, understanding, counsel, fortitude, knowledge, piety, and fear of the Lord."	Yes	"[[0.011211324483156204, 0.9887886047363281], [0.015894990414381027, 0.9841051697731018], [0.014275815337896347, 0.9857240319252014], [0.013485439121723175, 0.9865145683288574], [0.014083752408623695, 0.9859161972999573], [0.012243915349245071, 0.9877560138702393], [0.013538374565541744, 0.9864615797996521], [0.014638634398579597, 0.9853614568710327]]"
397	list the seven gifts of the holy spirit	piety | knowledge | wisdom | fear | fortitude | fear of the Lord | understanding | counsel	"Wisdom, Understanding, Counsel, Fortitude, Knowledge, Piety, and Fear of the Lord."	Yes	"[[0.01771257072687149, 0.9822874069213867], [0.0693315863609314, 0.9306684732437134], [0.027730220928788185, 0.9722698330879211], [0.03638056293129921, 0.9636194705963135], [0.03966164216399193, 0.9603382349014282], [0.020675072446465492, 0.979324996471405], [0.039334241300821304, 0.9606655836105347], [0.08830422163009644, 0.9116958379745483]]"
398	who wrote antigone and what are the dates of his birth and death	winter 406/5 BC | Sophocles | c. 497/6	sophocles	Yes	"[[0.9519999027252197, 0.047999996691942215], [0.009426171891391277, 0.9905737042427063], [0.9556164145469666, 0.04438365623354912]]"
399	who wrote antigone and what are the dates of his birth and death	winter 406/5 BC | Sophocles | c. 497/6	Sophocles (496 BC - 406 BC)	Yes	"[[0.7853904962539673, 0.2146095484495163], [0.008813071995973587, 0.9911868572235107], [0.8282362818717957, 0.17176371812820435]]"
400	who wrote antigone and what are the dates of his birth and death	winter 406/5 BC | Sophocles | c. 497/6	"The play Antigone was written by Sophocles, who was born in 496 BC and died in 406 BC."	Yes	"[[0.6713284850120544, 0.32867148518562317], [0.03578735142946243, 0.9642127752304077], [0.7375078201293945, 0.26249226927757263]]"
401	who wrote antigone and what are the dates of his birth and death	winter 406/5 BC | Sophocles | c. 497/6	Arthur Honegger	No	"[[0.9520203471183777, 0.04797954112291336], [0.9641249179840088, 0.035875022411346436], [0.957158088684082, 0.04284192994236946]]"
402	what is the name of the weapon the grim reaper carries	scythe	Scythe	Yes	"[[0.011493452824652195, 0.9885066151618958]]"
403	what is the name of the weapon the grim reaper carries	scythe	The Grim Reaper is often depicted carrying a scythe.	Yes	"[[0.010170232504606247, 0.9898297190666199]]"
404	animals that are active at dawn and dusk	Crepuscular animals | Crepuscular | crepuscular	crepuscular animals	Yes	"[[0.059686679393053055, 0.9403133988380432], [0.09316752105951309, 0.9068323969841003], [0.09316752105951309, 0.9068323969841003]]"
405	animals that are active at dawn and dusk	Crepuscular animals | Crepuscular | crepuscular	crepuscular	Yes	"[[0.02642454393208027, 0.9735755920410156], [0.010872209444642067, 0.9891278147697449], [0.010872209444642067, 0.9891278147697449]]"
406	animals that are active at dawn and dusk	Crepuscular animals | Crepuscular | crepuscular	Crepuscular animals.	Yes	"[[0.06230016425251961, 0.9376997947692871], [0.07568849623203278, 0.9243113994598389], [0.07568849623203278, 0.9243113994598389]]"
407	when is season 2 of jessica jones being released	"March 8, 2018"	"Season 2 of Jessica Jones is set to be released on March 8, 2018."	Yes	"[[0.010998217388987541, 0.9890017509460449]]"
408	when is season 2 of jessica jones being released	"March 8, 2018"	"March 8 , 2018"	Yes	"[[0.010549169033765793, 0.9894508123397827]]"
409	when is season 2 of jessica jones being released	"March 8, 2018"	"March 8, 2018"	Yes	"[[0.010549169033765793, 0.9894508123397827]]"
410	when is season 2 of jessica jones being released	"March 8, 2018"	March 8 2018	Yes	"[[0.00994567759335041, 0.9900542497634888]]"
411	who was appointed to manage the national recovery administration	Hugh S. Johnson	hugh s. johnson	Yes	"[[0.01257671881467104, 0.9874233603477478]]"
412	who was appointed to manage the national recovery administration	Hugh S. Johnson	General Hugh S. Johnson	Yes	"[[0.016884859651327133, 0.9831151366233826]]"
413	who was appointed to manage the national recovery administration	Hugh S. Johnson	harry hopkins	No	"[[0.9612716436386108, 0.038728389889001846]]"
414	who was appointed to manage the national recovery administration	Hugh S. Johnson	President Franklin D. Roosevelt	No	"[[0.9571787118911743, 0.04282132163643837]]"
415	who was appointed to manage the national recovery administration	Hugh S. Johnson	Hugh Samuel Johnson	Yes	"[[0.10077046602964401, 0.8992294669151306]]"
416	who was appointed to manage the national recovery administration	Hugh S. Johnson	Franklin D. Roosevelt was appointed to manage the National Recovery Administration.	Yes	"[[0.3817823827266693, 0.6182175874710083]]"
417	who was appointed to manage the national recovery administration	Hugh S. Johnson	Donald Richberg	No	"[[0.9612289071083069, 0.03877106308937073]]"
418	who was appointed to manage the national recovery administration	Hugh S. Johnson	Samuel Williams	No	"[[0.9609963297843933, 0.03900366649031639]]"
419	who dies in the lost city of z	Manley	Unknown.	No	"[[0.9437233805656433, 0.05627663806080818]]"
420	who dies in the lost city of z	Manley	Manley	Yes	"[[0.012675673700869083, 0.9873244166374207]]"
421	who dies in the lost city of z	Manley	Fawcett	No	"[[0.9421629309654236, 0.05783715471625328]]"
422	who dies in the lost city of z	Manley	Henry Costin	No	"[[0.9435328841209412, 0.05646713823080063]]"
423	who dies in the lost city of z	Manley	nina	No	"[[0.9476525783538818, 0.05234745517373085]]"
424	who dies in the lost city of z	Manley	Percy Fawcett	No	"[[0.9397705793380737, 0.060229428112506866]]"
425	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	aldehyde	No	"[[0.961713433265686, 0.03828651085495949]]"
426	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	hydroxyl group	No	"[[0.9611380100250244, 0.0388619601726532]]"
427	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	ATP	No	"[[0.673926830291748, 0.32607322931289673]]"
428	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	ADP	No	"[[0.5841431617736816, 0.41585686802864075]]"
429	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	hydroxyl	No	"[[0.9639608860015869, 0.036039020866155624]]"
430	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	acylphosphate intermediate	No	"[[0.9193780422210693, 0.0806218683719635]]"
431	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	adenosine diphosphate (ADP)	Yes	"[[0.008992822840809822, 0.9910072088241577]]"
432	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	adenosine diphosphate	Yes	"[[0.01486844290047884, 0.9851316213607788]]"
433	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	oxidative phosphorylation	No	"[[0.9585347771644592, 0.041465334594249725]]"
434	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	ADP (Adenosine diphosphate).	Yes	"[[0.009086080826818943, 0.9909138679504395]]"
435	when do dwight and angela start dating again	"Goodbye Toby | ""Goodbye Toby"" | In ""A.A.R.M."""	Unknown.	No	"[[0.9271562099456787, 0.07284384965896606], [0.9237305521965027, 0.07626939564943314], [0.9219136238098145, 0.07808627188205719]]"
436	when do dwight and angela start dating again	"Goodbye Toby | ""Goodbye Toby"" | In ""A.A.R.M."""	"Season 8 , Episode 9"	No	"[[0.9348642826080322, 0.06513577699661255], [0.930667519569397, 0.06933245807886124], [0.8966594934463501, 0.1033405214548111]]"
437	when do dwight and angela start dating again	"Goodbye Toby | ""Goodbye Toby"" | In ""A.A.R.M."""	the fourth season	No	"[[0.9455382227897644, 0.05446178838610649], [0.9527183771133423, 0.047281619161367416], [0.9444050788879395, 0.055594947189092636]]"
438	when do dwight and angela start dating again	"Goodbye Toby | ""Goodbye Toby"" | In ""A.A.R.M."""	season 9	No	"[[0.9280943870544434, 0.07190562784671783], [0.9388151168823242, 0.06118493527173996], [0.914991557598114, 0.08500838279724121]]"
439	when do dwight and angela start dating again	"Goodbye Toby | ""Goodbye Toby"" | In ""A.A.R.M."""	In the fifth season premiere	Yes	"[[0.9348832964897156, 0.06511665135622025], [0.9299613237380981, 0.07003874331712723], [0.4304102063179016, 0.5695898532867432]]"
440	when do dwight and angela start dating again	"Goodbye Toby | ""Goodbye Toby"" | In ""A.A.R.M."""	the fifth season premiere	No	"[[0.9400927424430847, 0.05990726128220558], [0.9437190294265747, 0.056281015276908875], [0.9267658591270447, 0.0732341930270195]]"
441	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	The Licensing Authority	Yes	"[[0.7768239974975586, 0.22317609190940857], [0.019176026806235313, 0.9808241128921509], [0.9173946380615234, 0.08260533213615417]]"
442	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	Landmark Worldwide	No	"[[0.9649736285209656, 0.03502647206187248], [0.9366379380226135, 0.06336206942796707], [0.9537330269813538, 0.04626705124974251]]"
443	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	local authorities	Yes	"[[0.729464054107666, 0.2705358564853668], [0.00972430594265461, 0.9902757406234741], [0.8865076899528503, 0.11349231004714966]]"
444	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	Local licensing forums are typically established by local governments or regulatory bodies.	Yes	"[[0.8934051394462585, 0.10659489035606384], [0.013929298147559166, 0.9860707521438599], [0.8464305996894836, 0.153569296002388]]"
445	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	The local licensing authority	Yes	"[[0.7167037725448608, 0.28329628705978394], [0.010145166888833046, 0.9898548722267151], [0.834716796875, 0.165283203125]]"
446	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	the council	No	"[[0.9620486497879028, 0.037951305508613586], [0.9315956234931946, 0.06840429455041885], [0.7916669249534607, 0.2083330899477005]]"
447	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	the FCC	No	"[[0.9672333598136902, 0.03276669606566429], [0.9336012005805969, 0.06639884412288666], [0.9614779949188232, 0.03852206468582153]]"
448	who is responsible for establishing local licensing forum	unitary authorities | local authorities | district councils	the uk licensing council	No	"[[0.9140692949295044, 0.08593078702688217], [0.7096207737922668, 0.29037922620773315], [0.7988958954811096, 0.2011040598154068]]"
449	what does istj mean in a personality test	Extroverted Intuition (Ne) | Introverted Feeling (Fi) | Extroverted Thinking (Te) | Introverted Sensing (Si)	Introversion	No	"[[0.9559324979782104, 0.044067587703466415], [0.6425212025642395, 0.3574787676334381], [0.953917384147644, 0.046082500368356705], [0.661369800567627, 0.33863013982772827]]"
450	what does istj mean in a personality test	Extroverted Intuition (Ne) | Introverted Feeling (Fi) | Extroverted Thinking (Te) | Introverted Sensing (Si)	Sensing	No	"[[0.9593121409416199, 0.040687818080186844], [0.9633784890174866, 0.036621611565351486], [0.9620564579963684, 0.03794353827834129], [0.6218776702880859, 0.3781224489212036]]"
451	what does istj mean in a personality test	Extroverted Intuition (Ne) | Introverted Feeling (Fi) | Extroverted Thinking (Te) | Introverted Sensing (Si)	Extraversion	No	"[[0.9523040056228638, 0.04769613966345787], [0.9562234282493591, 0.0437764972448349], [0.9497466683387756, 0.050253335386514664], [0.9609621167182922, 0.039037950336933136]]"
452	what does istj mean in a personality test	Extroverted Intuition (Ne) | Introverted Feeling (Fi) | Extroverted Thinking (Te) | Introverted Sensing (Si)	"Introverted, Sensing, Thinking, Judging"	Yes	"[[0.9190462827682495, 0.08095373958349228], [0.25928565859794617, 0.7407143115997314], [0.6794929504394531, 0.32050707936286926], [0.01372247003018856, 0.9862774610519409]]"
453	what does istj mean in a personality test	Extroverted Intuition (Ne) | Introverted Feeling (Fi) | Extroverted Thinking (Te) | Introverted Sensing (Si)	"ISTJ stands for Introverted, Sensing, Thinking, Judging. It is one of the 16 personality types in the Myers-Briggs Type Indicator (MBTI)."	Yes	"[[0.9435622096061707, 0.056437745690345764], [0.31396856904029846, 0.6860314011573792], [0.5364481806755066, 0.463551789522171], [0.014415924437344074, 0.9855841994285583]]"
454	what is the angle of the tower of pisa	at about 3.99 degrees | about 3.99 degrees | 3.99 degrees	3. 97 degrees	Yes	"[[0.300444632768631, 0.6995552778244019], [0.3479081094264984, 0.6520918607711792], [0.35935142636299133, 0.6406485438346863]]"
455	what is the angle of the tower of pisa	at about 3.99 degrees | about 3.99 degrees | 3.99 degrees	18 degree	No	"[[0.8708710074424744, 0.12912893295288086], [0.8793759942054749, 0.12062400579452515], [0.9217759370803833, 0.0782240480184555]]"
456	what is the angle of the tower of pisa	at about 3.99 degrees | about 3.99 degrees | 3.99 degrees	5.5 degrees	No	"[[0.8522877097129822, 0.14771227538585663], [0.868314266204834, 0.13168571889400482], [0.9046052694320679, 0.09539475291967392]]"
457	what is the angle of the tower of pisa	at about 3.99 degrees | about 3.99 degrees | 3.99 degrees	4.5 degrees	No	"[[0.7340227365493774, 0.26597723364830017], [0.7737690806388855, 0.22623099386692047], [0.8486273288726807, 0.15137258172035217]]"
458	what is the angle of the tower of pisa	at about 3.99 degrees | about 3.99 degrees | 3.99 degrees	4.97 degrees	No	"[[0.568399965763092, 0.43160006403923035], [0.7150073051452637, 0.2849925756454468], [0.8054341077804565, 0.19456590712070465]]"
459	what is the angle of the tower of pisa	at about 3.99 degrees | about 3.99 degrees | 3.99 degrees	5.5 degrees.	No	"[[0.8343524932861328, 0.1656474620103836], [0.8534374833106995, 0.1465626060962677], [0.9070534706115723, 0.09294645488262177]]"
